ScanId,SiteUrl,LastItemUserModifiedDate,RootWebTemplate,SubWebTemplates,SubWebCount,SubWebDepth,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,ClassicWorkflows,ClassicInfoPathForms,ClassicExtensibilities,SharePointAddIns,AzureACSPrincipals,AggregatedRemediationCodes
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130050,09/23/2016 19:58:32,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130051,04/26/2017 11:07:55,STS#0,BLOG#0,1,1,8,9,12,11,0,1,0,0,0,0,0,2,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130052,08/21/2017 17:01:07,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130053,08/21/2017 17:01:12,STS#0,BLOG#0,1,1,8,8,14,13,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130054,08/21/2017 17:01:19,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130055,08/21/2017 17:01:25,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130056,08/21/2017 17:01:30,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,2,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130057,08/21/2017 17:01:37,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130058,08/21/2017 17:01:41,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130059,08/21/2017 17:01:45,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
